Time, MagX, MagY, MagZ, AccX, AccY, AccZ, GyroX, GyroY, GyroZ, Temp, Pres, Yaw, Pitch, Roll
2021-10-23 11:52:34.349506,-19.0,9.125,11.5,-114,-1050,16924,0,0,0,27.37,1008.82,175.9636838652248,10.09876127643046,1.1363490698768615
2021-10-23 11:52:34.689781,-20.5,6.0,11.5,-157,-991,16930,-2,0,1,27.28,1008.82,173.2169132230447,19.766113639738663,1.3380348767383574
2021-10-23 11:52:35.030231,-18.5,8199.5,9.875,-154,-1015,16939,-1,0,-1,27.3,1008.93,160.89244836961913,16.051139549044343,0.95175934281375
2021-10-23 11:52:35.361154,-16.125,10.625,8.75,-170,-979,16935,1,-1,0,27.3,1008.9,154.64039889983195,23.180385750332473,1.43851125722641
2021-10-23 11:52:35.703197,-19.25,10.625,8200.875,-100,-944,16955,0,1,-1,27.3,1008.88,154.4386112207722,17.875219384825723,-1.9677642975850105
2021-10-23 11:52:36.041259,-23.375,11.625,13.625,-124,-925,16934,-3,-2,0,27.3,1008.93,148.77518172129174,24.867130067712292,-1.8244633327848467
2021-10-23 11:52:36.382815,-18.875,8.75,8200.125,-144,-983,16952,0,0,1,27.3,1008.89,148.88296508690848,18.995116708735278,-4.412085665091604
2021-10-23 11:52:36.715233,-22.75,7.0,11.125,-173,-1018,16957,-2,0,-2,27.28,1008.9,143.00324384873792,25.911559351604474,-5.3495603455607865
2021-10-23 11:52:37.048305,-22.875,9.875,12.0,-147,-1000,16934,-2,0,-1,27.28,1008.91,137.44320461352999,30.638470580336207,-5.381159402732765
2021-10-23 11:52:37.383521,-20.5,7.25,11.125,-141,-1010,16942,-3,-1,0,27.28,1008.9,132.7885267184533,33.77932276725645,-5.900404830956674
2021-10-23 11:52:37.728737,-15.75,9.0,9.375,-137,-964,16935,0,0,-1,27.28,1008.93,128.31149597433188,35.115938179764505,-5.122645678610366
2021-10-23 11:52:38.067424,-17.5,11.875,10.5,-113,-974,16937,-1,-1,1,27.28,1008.93,123.62915675294617,35.44400608656229,-4.452587611658093
2021-10-23 11:52:38.409199,-19.125,16391.25,10.0,-157,-998,16960,6,-1,0,27.28,1008.95,117.04798589732732,27.951727679640538,-3.73628137248189
2021-10-23 11:52:38.748522,-20.25,8.375,8199.625,-165,-994,16941,2,0,0,27.28,1008.89,117.98381657739152,19.359278101300994,-7.832003284283449
2021-10-23 11:52:39.089058,-19.625,7.375,11.0,-137,-985,16942,1,0,2,27.28,1008.92,110.73025520061347,23.477877016107882,-9.568756666328984
2021-10-23 11:52:39.422314,-18.75,8.0,10.75,-160,-961,16944,0,-1,0,27.28,1008.9,104.22071882447472,25.851624565558,-10.636620393773436
2021-10-23 11:52:39.757372,-18.75,8.125,9.5,-128,-1009,16936,3,-2,1,27.28,1008.91,97.66908510102634,27.04218657461024,-11.639900107071544
2021-10-23 11:52:40.093702,-17.5,9.75,9.875,-147,-1007,16927,1,-2,0,27.29,1008.93,92.12477346399108,26.827203249937817,-11.765006267027234
2021-10-23 11:52:40.432825,-18.875,9.375,10.5,-142,-1003,16940,-2,-2,-1,27.29,1008.89,86.85496534660024,26.26436343916088,-12.141217631139137
2021-10-23 11:52:40.765337,-19.125,10.25,13.0,-154,-996,16927,-2,0,0,27.3,1008.93,82.93033011849161,24.940357119717692,-11.979910399820376
2021-10-23 11:52:41.106046,-17.875,7.875,11.375,-166,-991,16927,0,0,1,27.3,1008.89,78.67845229926479,23.883444163537238,-12.338258179287694
2021-10-23 11:52:41.439079,-17.5,8.25,13.0,-141,-1022,16942,-1,0,0,27.3,1008.88,75.4376297887556,22.313486096503585,-12.223933585631464
2021-10-23 11:52:41.772309,-20.375,8199.0,10.25,-138,-988,16938,-2,0,0,27.3,1008.91,78.22914159484021,18.111056587066745,-10.302888063051519
2021-10-23 11:52:42.113255,-18.5,8200.125,8.875,-137,-986,16931,-1,-1,2,27.3,1008.88,80.49729090934629,14.649245910244767,-8.807099379121734
2021-10-23 11:52:42.447641,-18.375,9.125,8.875,-140,-969,16951,1,0,2,27.3,1008.89,73.73542154715165,15.293971643429217,-10.11782206983028
2021-10-23 11:52:42.787824,-17.75,8200.875,12.75,-140,-983,16942,0,0,-1,27.3,1008.91,76.95613346674652,12.581132359432722,-8.728130257086908
2021-10-23 11:52:43.120758,-19.125,7.25,10.75,-130,-967,16925,2,0,0,27.28,1008.92,70.49924562648323,13.768379602271498,-10.58077217052094
2021-10-23 11:52:43.460478,-16.0,6.375,11.25,-134,-1028,16952,-2,-1,2,27.29,1008.89,65.91841164365148,14.03787137336986,-11.579932705340305
2021-10-23 11:52:43.794901,-18.5,9.375,8.125,-165,-964,16944,0,0,1,27.28,1008.9,60.76701387726243,13.350696515324692,-11.639509269195061
2021-10-23 11:52:44.130590,-19.75,16389.875,9.75,-137,-1014,16914,-4,0,0,27.28,1008.9,66.54293025723123,11.600439766893109,-10.183709372249432
2021-10-23 11:52:44.466003,-16.875,8198.875,10.375,-158,-952,16955,3,-1,0,27.28,1008.9,71.27029372814256,9.946000241140888,-8.851226969436352
2021-10-23 11:52:44.807366,-19.75,8.0,8199.875,-138,-983,16928,1,1,0,27.28,1008.91,72.0253888604874,4.982211113225618,-8.409445487313281
2021-10-23 11:52:45.147439,-20.375,8200.125,8.875,-109,-1019,16932,-1,-2,1,27.29,1008.89,75.75190307099443,4.479930691148388,-7.407467609503916
2021-10-23 11:52:45.486017,-19.25,8198.125,11.125,-192,-932,16980,-11,0,-1,27.29,1008.89,78.72125739356065,3.9993524947524843,-6.537655533023845
2021-10-23 11:52:45.819040,-18.75,9.375,10.625,-136,-980,16916,-1,2,-2,27.29,1008.9,71.45427861361145,6.538659721710633,-8.340282764765563
