Time, MagX, MagY, MagZ, AccX, AccY, AccZ, GyroX, GyroY, GyroZ, Temp, Pres, Yaw, Pitch, Roll
2021-10-23 12:12:38.384453,-316.625,-139.75,280.5,-4575,-763,16376,-245,-145,140,27.89,1009.33,-177.1653501704118,14.871313466493785,-3.0023055684165327
2021-10-23 12:12:38.685634,-351.375,-139.0,240.75,-8382,-31,14312,-87,2042,637,28.36,1009.33,-174.35130668132558,32.64722792080759,-4.275222456063834
2021-10-23 12:12:38.986193,-362.625,-135.75,205.25,-12573,139,12270,-603,512,-63,28.38,1009.37,-174.02365829633158,45.82931227397738,-7.305299840125579
2021-10-23 12:12:39.287105,-353.25,-127.625,171.375,-13271,-323,11469,-484,-1573,-133,28.4,1009.37,-174.55049251985375,51.57513402626482,-10.455588106201011
2021-10-23 12:12:39.587815,-343.625,-125.125,88.5,-15078,108,5287,-463,2376,-100,28.41,1009.34,-178.54049977429722,66.79021587788958,-16.940869411185624
2021-10-23 12:12:39.888527,-327.375,-110.375,62.625,-16364,766,-2965,-140,1147,633,28.42,1009.35,169.65441788354403,79.43375196121752,-30.403975314029484
2021-10-23 12:12:40.189541,-260.5,-105.0,17.5,-13219,2750,-8899,-665,3143,-625,28.44,1009.34,59.89953779251391,81.05924228450185,-142.2869183118527
2021-10-23 12:12:40.490257,-155.125,-78.875,47.5,-1623,3268,-15657,-3066,4782,120,28.46,1009.34,34.119173353859175,64.10251104381707,-173.70418163253186
2021-10-23 12:12:40.791524,-99.625,-105.25,114.5,9791,4348,-12101,-173,3671,2283,28.47,1009.35,24.973741927925616,48.00849914848864,175.56143434247943
2021-10-23 12:12:41.092946,-94.875,-126.875,184.5,15082,-43,-5066,-346,3634,1459,28.48,1009.36,24.252068357862704,32.4016854936411,174.21631218666494
2021-10-23 12:12:41.393999,-111.125,-140.625,227.125,16312,-1194,488,-2100,1232,372,28.48,1009.35,25.005150098852866,20.718347603047953,171.70149763745493
2021-10-23 12:12:41.695522,-185.0,-140.875,286.875,13519,-2086,8505,-909,3086,9,28.47,1009.35,25.58840437802031,8.748306177473923,171.92442779998268
2021-10-23 12:12:41.996810,-235.25,-126.5,283.875,6583,-2138,16265,1139,-214,-131,28.47,1009.35,24.825112468621196,5.949300039055256,174.38445884774586
2021-10-23 12:12:42.300313,-248.375,-123.0,283.25,4171,-1409,14028,-858,-935,1608,28.46,1009.35,21.710162295742883,4.54852904968852,173.5345992684419
2021-10-23 12:12:42.601826,-307.625,-102.125,248.375,-3250,628,17587,400,2726,328,28.45,1009.36,20.295924428308094,3.4562511890114602,173.19659258397814
2021-10-23 12:12:42.903362,-343.125,-101.375,193.0,-9617,396,12979,-339,1179,303,28.43,1009.34,18.672911915786475,9.482407222366001,171.7714646211059
2021-10-23 12:12:43.204476,-341.75,-109.0,92.625,-14806,1426,6604,1144,3171,-465,28.43,1009.35,19.042557615415905,16.96315089490436,171.9908307967822
2021-10-23 12:12:43.506010,-280.0,-121.25,16388.0,-15881,1243,-4506,240,2706,109,28.47,1009.33,19.329812129013472,23.57322359399487,175.0212216863795
