Time, MagX, MagY, MagZ, AccX, AccY, AccZ, GyroX, GyroY, GyroZ, Temp, Pres, Yaw, Pitch, Roll
2021-10-23 12:18:24.510623,-273.375,-214.875,33.625,638,-1250,-16865,-1415,-1514,-783,29.32,1009.39,-173.53976264332786,-0.13927298353299272,-3.7387236398955017
2021-10-23 12:18:24.812250,-275.75,-275.125,158.25,-1856,-12480,-5167,1088,1044,-3944,29.02,1009.39,-172.83596654574347,11.089858258164021,-16.329097649263524
2021-10-23 12:18:25.113500,-256.625,-237.75,266.0,-419,-15392,5977,-431,54,-3270,29.04,1009.48,-178.3332814428889,17.68447532329666,-31.039972641699503
2021-10-23 12:18:25.414601,-263.0,-137.25,306.25,968,-10721,14105,447,104,-1682,29.05,1009.46,178.94006088457863,20.396140767195323,-31.284895429047054
2021-10-23 12:18:25.715970,-263.875,-32.75,215.875,1457,2304,16456,-1061,-14,-2148,29.06,1009.48,178.4821189633253,25.441113031529486,-22.703366854000173
2021-10-23 12:18:26.016815,-254.125,32768.0,89.625,-1016,14838,4322,-239,796,-239,29.07,1009.5,170.5841641781158,24.16266037904219,-13.80327949800679
2021-10-23 12:18:26.317627,-265.625,-90.875,16390.25,1552,10979,-8801,-32,-960,46,29.07,1009.45,174.5726336392118,25.63566952537753,-3.250362231272525
2021-10-23 12:18:26.620717,-268.25,-198.25,16.0,449,-2540,-15684,1078,1429,140,29.03,1009.47,177.18803078463847,40.75279693391946,-8.204956472508375
2021-10-23 12:18:26.922026,-271.5,-254.25,64.25,96,-9729,-13173,-2866,-1661,-2056,29.05,1009.45,163.57227583032216,49.32837154127975,-35.785534711709076
2021-10-23 12:18:27.223619,-276.25,-277.375,134.625,-639,-15739,-5376,-2938,-1516,-1665,29.1,1009.46,148.38091189888218,42.54088076803457,-62.639360473306134
2021-10-23 12:18:27.524962,-258.375,-246.25,232.5,-2658,-16801,2596,-1958,-1376,-1474,29.12,1009.49,147.43687085681785,34.42263063591955,-67.78008774422305
2021-10-23 12:18:27.826149,-253.875,-148.0,290.25,943,-9081,14302,-986,-596,-2692,29.13,1009.51,149.2339902212769,30.716836215811966,-58.14282888820864
2021-10-23 12:18:28.126515,-243.25,-72.875,264.0,1460,218,17428,-2672,476,-1271,29.11,1009.49,151.25108600162994,33.167630673342764,-47.65843425685785
2021-10-23 12:18:28.427053,-266.25,-18.125,194.375,583,10586,13211,-814,587,-2725,29.11,1009.49,153.56141471261617,39.1720802316437,-33.65402370903825
